ledger_schema_version	plan_path	plan_sha256	block	order_in_block	repetition	loadgen_seed	request_rate	num_prompts	accepted_run_id	accepted_attempt	accepted_execution_order	accepted_started_at_utc	accepted_completed_at_utc	attempt_history
1	results/plans/phase3b-v2-open-loop-steady-plan.tsv	2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3	1	1	1	31001	11	3300	open_loop_steady-phase3b-v2-in512-out128-l11-s31001-b1-a1	1	1	2026-08-12T15:11:00.228454+00:00	2026-08-12T15:16:49.165478+00:00	a1:complete
1	results/plans/phase3b-v2-open-loop-steady-plan.tsv	2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3	1	2	1	31001	10	3000	open_loop_steady-phase3b-v2-in512-out128-l10-s31001-b1-a1	1	2	2026-08-12T15:16:57.717271+00:00	2026-08-12T15:22:36.194180+00:00	a1:complete
1	results/plans/phase3b-v2-open-loop-steady-plan.tsv	2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3	1	3	1	31001	12	3600	open_loop_steady-phase3b-v2-in512-out128-l12-s31001-b1-a1	1	3	2026-08-12T15:22:44.727526+00:00	2026-08-12T15:30:19.754867+00:00	a1:complete
1	results/plans/phase3b-v2-open-loop-steady-plan.tsv	2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3	2	1	2	31002	10	3000	open_loop_steady-phase3b-v2-in512-out128-l10-s31002-b2-a1	1	4	2026-08-12T15:30:28.315508+00:00	2026-08-12T15:36:46.885655+00:00	a1:complete
1	results/plans/phase3b-v2-open-loop-steady-plan.tsv	2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3	2	2	2	31002	12	3600	open_loop_steady-phase3b-v2-in512-out128-l12-s31002-b2-a1	1	5	2026-08-12T15:36:55.433103+00:00	2026-08-12T15:46:12.539858+00:00	a1:complete
1	results/plans/phase3b-v2-open-loop-steady-plan.tsv	2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3	2	3	2	31002	11	3300	open_loop_steady-phase3b-v2-in512-out128-l11-s31002-b2-a1	1	6	2026-08-12T15:46:21.062039+00:00	2026-08-12T15:53:23.555094+00:00	a1:complete
1	results/plans/phase3b-v2-open-loop-steady-plan.tsv	2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3	3	1	3	31003	12	3600	open_loop_steady-phase3b-v2-in512-out128-l12-s31003-b3-a1	1	7	2026-08-12T15:53:32.021636+00:00	2026-08-12T16:00:03.819453+00:00	a1:complete
1	results/plans/phase3b-v2-open-loop-steady-plan.tsv	2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3	3	2	3	31003	10	3000	open_loop_steady-phase3b-v2-in512-out128-l10-s31003-b3-a1	1	8	2026-08-12T16:00:12.324317+00:00	2026-08-12T16:05:44.716986+00:00	a1:complete
1	results/plans/phase3b-v2-open-loop-steady-plan.tsv	2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3	3	3	3	31003	11	3300	open_loop_steady-phase3b-v2-in512-out128-l11-s31003-b3-a1	1	9	2026-08-12T16:05:53.186201+00:00	2026-08-12T16:11:25.034390+00:00	a1:complete
1	results/plans/phase3b-v2-open-loop-steady-plan.tsv	2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3	4	1	4	31004	11	3300	open_loop_steady-phase3b-v2-in512-out128-l11-s31004-b4-a1	1	10	2026-08-12T16:11:33.641464+00:00	2026-08-12T16:17:03.796132+00:00	a1:complete
1	results/plans/phase3b-v2-open-loop-steady-plan.tsv	2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3	4	2	4	31004	12	3600	open_loop_steady-phase3b-v2-in512-out128-l12-s31004-b4-a1	1	11	2026-08-12T16:17:12.257757+00:00	2026-08-12T16:22:43.774631+00:00	a1:complete
1	results/plans/phase3b-v2-open-loop-steady-plan.tsv	2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3	4	3	4	31004	10	3000	open_loop_steady-phase3b-v2-in512-out128-l10-s31004-b4-a1	1	12	2026-08-12T16:22:52.233328+00:00	2026-08-12T16:28:22.277418+00:00	a1:complete
1	results/plans/phase3b-v2-open-loop-steady-plan.tsv	2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3	5	1	5	31005	10	3000	open_loop_steady-phase3b-v2-in512-out128-l10-s31005-b5-a1	1	13	2026-08-12T16:28:30.716119+00:00	2026-08-12T16:34:00.425960+00:00	a1:complete
1	results/plans/phase3b-v2-open-loop-steady-plan.tsv	2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3	5	2	5	31005	11	3300	open_loop_steady-phase3b-v2-in512-out128-l11-s31005-b5-a2	2	14	2026-08-13T04:24:53.032095+00:00	2026-08-13T04:30:24.836836+00:00	a1:failed,a2:complete
1	results/plans/phase3b-v2-open-loop-steady-plan.tsv	2d3969f4059b976d7b171960e0eca2b88369a76891310254cb625326736406a3	5	3	5	31005	12	3600	open_loop_steady-phase3b-v2-in512-out128-l12-s31005-b5-a1	1	15	2026-08-13T04:32:19.862000+00:00	2026-08-13T04:37:53.773764+00:00	a1:complete
