evidence_status,experiment_spec_sha256,run_namespace,plan_sha256,nominal_arrival_horizon_seconds,ttft_slo_ms,e2e_slo_ms,tpot_slo_ms,phase,run_id,input_len,output_len,concurrency,request_rate,loadgen_seed,repetition,completed,failed,num_prompts,duration,request_throughput,request_goodput,input_throughput,output_throughput,total_token_throughput,actual_input_len_min,actual_input_len_max,actual_input_len_mean,input_token_abs_drift_total,input_token_net_drift_total,input_token_abs_drift_pct,arrival_span_s,realized_send_rate,drain_time_approx_s,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,p50_itl_ms,p95_itl_ms,p99_itl_ms,mean_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms,request_throughput_gain_vs_c1_pct,request_throughput_gain_vs_previous_pct,output_throughput_gain_vs_c1_pct,output_throughput_gain_vs_previous_pct,p50_ttft_ms_gain_vs_c1_pct,p50_ttft_ms_gain_vs_previous_pct,p95_ttft_ms_gain_vs_c1_pct,p95_ttft_ms_gain_vs_previous_pct,p99_ttft_ms_gain_vs_c1_pct,p99_ttft_ms_gain_vs_previous_pct,p99_tpot_ms_gain_vs_c1_pct,p99_tpot_ms_gain_vs_previous_pct,p99_itl_ms_gain_vs_c1_pct,p99_itl_ms_gain_vs_previous_pct,p99_e2el_ms_gain_vs_c1_pct,p99_e2el_ms_gain_vs_previous_pct
complete,ebd49cec839bfe27d0229f26aff450a40abc1b7f2169d4b73ae438c095fcbe00,,,,,,,baseline,baseline-in512-out128-c1-r1,512,128,1,inf,0,1,128,0,128,96.45534109399887,1.3270390063237643,,679.4439712377673,169.86099280944183,849.3049640472091,512,512,512.0,0,0,0.0,,,,27.011524359465966,27.002845003153197,28.345389047899513,29.421107569651213,5.719480638781194,5.695176188979302,5.839071172811701,5.881015216854587,5.719481618665504,5.699388999346411,6.145056500827195,6.63525290110556,753.3855654846775,750.19716099996,769.8247855019872,774.4304136159917,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
complete,ebd49cec839bfe27d0229f26aff450a40abc1b7f2169d4b73ae438c095fcbe00,,,,,,,baseline,baseline-in512-out128-c1-r2,512,128,1,inf,0,2,128,0,128,96.43500100999518,1.3273189055779988,,679.5872796559354,169.89681991398385,849.4840995699192,512,512,512.0,0,0,0.0,,,,26.96730437514816,26.877164498728234,28.379052600939758,29.264225942461056,5.718545349287438,5.6973932637841305,5.826022804326994,5.858741397455524,5.718546407849306,5.699632496543927,6.15412724619091,6.689257804828231,753.2225637346528,750.4655124976125,767.2582083534508,771.4818033907795,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
complete,ebd49cec839bfe27d0229f26aff450a40abc1b7f2169d4b73ae438c095fcbe00,,,,,,,baseline,baseline-in512-out128-c1-r3,512,128,1,inf,0,3,128,0,128,96.42174689200328,1.3275013586236493,,679.6806956153084,169.9201739038271,849.6008695191356,512,512,512.0,0,0,0.0,,,,26.869893655941723,26.73592750215903,28.07546374897356,29.17409517824126,5.718520247111031,5.703475421259507,5.814096901581717,5.852817409862851,5.71852121628998,5.702079000911908,6.140478248198633,6.705357653117978,753.1219650390426,751.0219940013485,766.197042748172,771.7047533097502,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
complete,ebd49cec839bfe27d0229f26aff450a40abc1b7f2169d4b73ae438c095fcbe00,,,,,,,baseline,baseline-in512-out128-c1-r4,512,128,1,inf,0,4,128,0,128,96.42731905700202,1.3274246474107,,679.6414194742785,169.9103548685696,849.5517743428481,512,512,512.0,0,0,0.0,,,,26.751675015475485,26.692111499869497,27.924411499043345,28.665140529410568,5.719750521223425,5.698663259842195,5.825366079509368,5.845941141097418,5.719751548472625,5.700962003174936,6.135235998954158,6.682508994344971,753.1599912108504,750.6309100026556,766.7565422485495,769.0990752793005,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
complete,ebd49cec839bfe27d0229f26aff450a40abc1b7f2169d4b73ae438c095fcbe00,,,,,,,baseline,baseline-in512-out128-c1-r5,512,128,1,inf,0,5,128,0,128,96.09665353200398,1.331992273356022,,681.9800439582833,170.49501098957083,852.4750549478541,512,512,512.0,0,0,0.0,,,,26.609650500063253,26.580687994282926,27.612787951511564,28.379557630614727,5.7006094662906035,5.680659559023004,5.805989726807846,5.846041609600391,5.7006104729365275,5.68381499761017,6.126290751126362,6.655490649427522,750.58705271897,748.3465160003107,764.703665352863,769.3117712817912,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
complete,ebd49cec839bfe27d0229f26aff450a40abc1b7f2169d4b73ae438c095fcbe00,,,,,,,baseline,baseline-in512-out128-c16-r1,512,128,16,inf,0,1,128,0,128,12.524824915002682,10.219703737868386,,5232.488313788614,1308.1220784471534,6540.610392235767,512,512,512.0,0,0,0.0,,,,172.21886719528356,189.68449049862102,274.67567899984715,338.32817449794675,10.95243042932121,10.8094733228126,11.900505625184392,11.935558190482086,10.952431308442728,9.816512996621896,10.854329497306026,64.4643740492029,1563.1775317190773,1562.4704170004406,1624.3791330030945,1654.6977792890539,670.1132889966487,51.02459468587708,670.1132889966487,51.02459468587708,602.4611313232773,55.60071038638963,869.031254203941,74.70506292645567,1049.9505030427297,97.58396385307908,102.95064288008629,30.425949353448,871.5435871097227,157.57816809952922,113.66642505204484,37.167012293329414
complete,ebd49cec839bfe27d0229f26aff450a40abc1b7f2169d4b73ae438c095fcbe00,,,,,,,baseline,baseline-in512-out128-c16-r2,512,128,16,inf,0,2,128,0,128,12.673757684999146,10.099609222567256,,5170.999921954435,1292.7499804886088,6463.7499024430435,512,512,512.0,0,0,0.0,,,,174.14976011718863,193.33968999853823,275.1394603012159,339.45394911766925,11.083217556409997,11.047950763752414,11.898537792120354,12.214605360322032,11.083218569264385,9.94329049717635,10.89303274966369,65.65252029940893,1581.7183897812583,1587.3570279982232,1622.1298486994783,1652.9722914098966,660.9029887334609,48.27453695317274,660.9029887334609,48.27453695317274,619.3455619460402,87.4996123834248,869.5160165146061,72.8282630148897,1059.9621660422497,97.18638427460778,108.4851426558422,36.05362301853283,881.4619531037014,285.3801307381745,114.25940108306283,38.01565022890547
complete,ebd49cec839bfe27d0229f26aff450a40abc1b7f2169d4b73ae438c095fcbe00,,,,,,,baseline,baseline-in512-out128-c16-r3,512,128,16,inf,0,3,128,0,128,12.596070889994735,10.16189898563309,,5202.892280644142,1300.7230701610356,6503.615350805178,512,512,512.0,0,0,0.0,,,,174.01301628922283,190.82355250429828,278.52404689947434,345.5969061387441,11.008150805301868,10.85067816143058,11.949985990946788,12.0364636564515,11.008151714015979,9.87414400151465,10.772267003630986,64.66289074742241,1572.04816856256,1569.3281544990896,1637.636975550049,1674.0042565799376,665.4906655740772,50.68276235307563,665.4906655740772,50.68276235307563,613.7345524627434,58.996002927732526,892.0550178255104,77.42287063590743,1084.6019697519139,103.19182154700238,105.65247151172534,31.75452288852252,864.346632835525,152.89518752223557,116.92289044486661,37.96355303138264
complete,ebd49cec839bfe27d0229f26aff450a40abc1b7f2169d4b73ae438c095fcbe00,,,,,,,baseline,baseline-in512-out128-c16-r4,512,128,16,inf,0,4,128,0,128,12.518022748998192,10.225257020741854,,5235.331594619829,1308.8328986549573,6544.164493274787,512,512,512.0,0,0,0.0,,,,172.31784832000585,188.36750199989183,277.73976879725524,342.2476533783629,10.944669226809648,10.806140244126507,11.89548842484378,11.9297338278001,10.944673196970651,9.7963685002469,10.839286504051415,63.92725389778213,1562.290840124831,1560.6367715008673,1623.0255058464536,1656.7501198624086,670.3079071710349,49.89175971500855,670.3079071710349,49.89175971500855,605.7047622508725,78.12471122305185,894.6127917745741,68.0510563932284,1093.95072571584,97.12467571070921,104.06866131328533,33.35966457815645,856.6355084876076,244.45539777258557,115.41439498685592,38.220423517794444
complete,ebd49cec839bfe27d0229f26aff450a40abc1b7f2169d4b73ae438c095fcbe00,,,,,,,baseline,baseline-in512-out128-c16-r5,512,128,16,inf,0,5,128,0,128,12.498475636995863,10.241248910476424,,5243.519442163929,1310.8798605409822,6554.399302704911,512,512,512.0,0,0,0.0,,,,172.33517227322181,189.4842260007863,274.8239667464077,339.3630618482712,10.925091573943432,10.79248562597259,11.879996692875903,11.919712865107906,10.925092433253004,9.811616499064257,10.782661751363776,64.25299550282944,1559.8218021640378,1558.943026502675,1620.2956333007023,1650.5095577995962,668.8669908477079,52.02129725130054,668.8669908477079,52.02129725130054,612.8642646177605,42.91154287054504,895.2778662879037,65.40954548079974,1095.8010983306517,97.53624041645624,103.89373974918871,30.550397619944114,865.4133539854978,155.0477278308888,114.5436504955065,35.683094628417386
