run_id,input_len,output_len,concurrency,repetition,benchmark_duration_s,sample_count,sample_coverage_s,window_start_local,window_end_local,gpu_util_pct_mean,gpu_util_pct_p50,gpu_util_pct_p95,gpu_util_pct_min,gpu_util_pct_max,memory_util_pct_mean,memory_util_pct_p50,memory_util_pct_p95,memory_util_pct_min,memory_util_pct_max,memory_used_mib_mean,memory_used_mib_p50,memory_used_mib_p95,memory_used_mib_min,memory_used_mib_max,sm_clock_mhz_mean,sm_clock_mhz_p50,sm_clock_mhz_p95,sm_clock_mhz_min,sm_clock_mhz_max,memory_clock_mhz_mean,memory_clock_mhz_p50,memory_clock_mhz_p95,memory_clock_mhz_min,memory_clock_mhz_max,temperature_c_mean,temperature_c_p50,temperature_c_p95,temperature_c_min,temperature_c_max
baseline-in512-out128-c1-r1,512,128,1,1,96.45534109399887,96,95.955,2026-08-11T12:48:11.544,2026-08-11T12:49:49.000,97.02083333333333,98.0,98.0,92.0,98.0,98.44791666666667,100.0,100.0,92.0,100.0,7859.0,7859.0,7859.0,7859.0,7859.0,2781.5625,2775.0,2790.0,2730.0,2790.0,8250.0,8250.0,8250.0,8250.0,8250.0,61.072916666666664,61.0,62.0,58.0,64.0
baseline-in512-out128-c1-r2,512,128,1,2,96.43500100999518,96,96.109,2026-08-11T12:50:21.564,2026-08-11T12:51:59.000,97.1875,98.0,98.0,94.0,98.0,98.76041666666667,100.0,100.0,94.0,100.0,7859.0,7859.0,7859.0,7859.0,7859.0,2775.0,2775.0,2775.0,2775.0,2775.0,8250.0,8250.0,8250.0,8250.0,8250.0,62.78125,63.0,64.0,61.0,65.0
baseline-in512-out128-c1-r3,512,128,1,3,96.42174689200328,96,95.955,2026-08-11T12:52:31.578,2026-08-11T12:54:09.000,97.22916666666667,98.0,98.0,94.0,99.0,98.66666666666667,100.0,100.0,93.0,100.0,7859.0,7859.0,7859.0,7859.0,7859.0,2776.09375,2775.0,2790.0,2760.0,2790.0,8250.0,8250.0,8250.0,8250.0,8250.0,63.53125,64.0,65.0,61.0,68.0
baseline-in512-out128-c1-r4,512,128,1,4,96.42731905700202,96,95.99,2026-08-11T12:54:40.572,2026-08-11T12:56:18.000,97.20833333333333,98.0,98.0,94.0,98.0,98.6875,100.0,100.0,93.0,100.0,7859.0,7859.0,7859.0,7859.0,7859.0,2776.71875,2775.0,2790.0,2775.0,2790.0,8250.0,8250.0,8250.0,8250.0,8250.0,64.05208333333333,64.0,66.0,61.0,67.0
baseline-in512-out128-c1-r5,512,128,1,5,96.09665353200398,95,95.295,2026-08-11T12:56:50.903,2026-08-11T12:58:28.000,97.41052631578947,98.0,98.0,94.0,99.0,98.98947368421052,100.0,100.0,94.0,100.0,7859.0,7859.0,7859.0,7859.0,7859.0,2774.842105263158,2775.0,2775.0,2760.0,2775.0,8250.0,8250.0,8250.0,8250.0,8250.0,64.53684210526316,65.0,66.0,62.0,67.0
baseline-in512-out128-c16-r1,512,128,16,1,12.524824915002682,13,12.074,2026-08-11T13:14:45.475,2026-08-11T13:14:59.000,99.0,99.0,99.0,99.0,99.0,88.0,100.0,100.0,40.0,100.0,7859.0,7859.0,7859.0,7859.0,7859.0,2756.5384615384614,2775.0,2775.0,2685.0,2775.0,8250.0,8250.0,8250.0,8250.0,8250.0,60.46153846153846,60.0,64.0,56.0,64.0
baseline-in512-out128-c16-r2,512,128,16,2,12.673757684999146,14,13.246,2026-08-11T13:15:25.326,2026-08-11T13:15:39.000,94.07142857142857,99.0,100.0,30.0,100.0,85.07142857142857,100.0,100.0,33.0,100.0,7859.0,7859.0,7859.0,7859.0,7859.0,2760.0,2775.0,2790.0,2670.0,2790.0,8250.0,8250.0,8250.0,8250.0,8250.0,62.785714285714285,62.5,67.0,58.0,67.0
baseline-in512-out128-c16-r3,512,128,16,3,12.596070889994735,13,12.083,2026-08-11T13:16:06.403,2026-08-11T13:16:20.000,99.0,99.0,99.4,98.0,100.0,92.84615384615384,100.0,100.0,41.0,100.0,7859.0,7859.0,7859.0,7859.0,7859.0,2751.923076923077,2775.0,2781.0,2610.0,2790.0,8250.0,8250.0,8250.0,8250.0,8250.0,62.38461538461539,62.0,66.4,58.0,67.0
baseline-in512-out128-c16-r4,512,128,16,4,12.518022748998192,13,12.113,2026-08-11T13:16:46.481,2026-08-11T13:17:00.000,99.07692307692308,99.0,99.4,99.0,100.0,88.84615384615384,100.0,100.0,40.0,100.0,7859.0,7859.0,7859.0,7859.0,7859.0,2751.923076923077,2775.0,2781.0,2625.0,2790.0,8250.0,8250.0,8250.0,8250.0,8250.0,62.07692307692308,62.0,65.0,58.0,65.0
baseline-in512-out128-c16-r5,512,128,16,5,12.498475636995863,13,12.109,2026-08-11T13:17:27.501,2026-08-11T13:17:41.000,98.61538461538461,99.0,99.4,93.0,100.0,88.0,100.0,100.0,41.0,100.0,7859.0,7859.0,7859.0,7859.0,7859.0,2757.6923076923076,2775.0,2775.0,2670.0,2775.0,8250.0,8250.0,8250.0,8250.0,8250.0,62.30769230769231,62.0,66.0,57.0,66.0
baseline-in512-out128-c2-r1,512,128,2,1,53.450743509005406,54,53.474,2026-08-11T12:58:56.549,2026-08-11T12:59:51.000,97.24074074074075,98.0,99.0,68.0,99.0,96.27777777777777,100.0,100.0,71.0,100.0,7859.0,7859.0,7859.0,7859.0,7859.0,2773.0555555555557,2775.0,2775.0,2730.0,2775.0,8250.0,8250.0,8250.0,8250.0,8250.0,62.166666666666664,62.0,64.0,60.0,65.0
