evidence_status,run_id,samples,errors,coverage_s,max_running,max_waiting,max_capacity_waiting,max_deferred_waiting,kv_cache_usage_p95_pct,kv_cache_usage_max_pct,preemptions_delta,queue_time_sum_delta_s,counter_delta_source,counter_reset
complete,open_loop-in512-out128-l10-r1,87,0,43.00042107199988,31.0,0.0,0.0,0.0,40.07788836001731,49.32929467762873,0.0,0.634684305965493,metrics_before_after,False
complete,open_loop-in512-out128-l10-r2,86,0,42.50021045899484,30.0,0.0,0.0,0.0,42.167892687148424,48.723496321938555,0.0,0.8281475699186558,metrics_before_after,False
complete,open_loop-in512-out128-l10-r3,86,0,42.500439755000116,30.0,0.0,0.0,0.0,41.31328429251406,48.4638684552142,0.0,0.5890937540316372,metrics_before_after,False
complete,open_loop-in512-out128-l10-r4,85,0,42.00035942700197,30.0,0.0,0.0,0.0,39.376893119861535,48.07442665512765,0.0,0.5213622409719392,metrics_before_after,False
complete,open_loop-in512-out128-l10-r5,85,0,42.00039909299812,43.0,1.0,1.0,0.0,53.13717005625267,67.45997403721333,0.0,1.1079676209410536,metrics_before_after,False
complete,open_loop-in512-out128-l12-r1,79,0,39.00044865199743,44.0,0.0,0.0,0.0,61.81739506707052,68.75811337083513,0.0,0.8292413210510858,metrics_before_after,False
complete,open_loop-in512-out128-l12-r2,78,0,38.5003965270007,42.0,0.0,0.0,0.0,58.30809173517954,68.19558632626568,0.0,0.679051447979873,metrics_before_after,False
complete,open_loop-in512-out128-l12-r3,78,0,38.5004424630024,47.0,0.0,0.0,0.0,67.59411510168758,74.08048463868455,0.0,0.8444655049024732,metrics_before_after,False
complete,open_loop-in512-out128-l12-r4,79,0,39.00039894600195,44.0,3.0,3.0,0.0,61.60536564257897,69.32064041540458,0.0,0.7280178420696757,metrics_before_after,False
complete,open_loop-in512-out128-l12-r5,79,0,39.000565873000596,44.0,0.0,0.0,0.0,59.59757680657722,70.79186499350931,0.0,0.5888859310362022,metrics_before_after,False
complete,open_loop-in512-out128-l14-r1,73,0,36.000397782998334,64.0,5.0,5.0,0.0,98.88360017308524,99.91345737775855,8.0,11.22019865908078,metrics_before_after,False
complete,open_loop-in512-out128-l14-r2,75,0,37.00046804299927,63.0,7.0,7.0,0.0,98.75811337083515,99.43747295543055,8.0,15.940769144137448,metrics_before_after,False
complete,open_loop-in512-out128-l14-r3,75,0,37.00004476199683,63.0,6.0,6.0,0.0,97.47295543054955,99.95672868887927,8.0,7.993789807056601,metrics_before_after,False
complete,open_loop-in512-out128-l14-r4,74,0,36.50035024499812,64.0,20.0,20.0,0.0,99.23626135871916,99.65382951103419,24.0,79.81279579093098,metrics_before_after,False
complete,open_loop-in512-out128-l14-r5,75,0,37.00042268999823,62.0,2.0,2.0,0.0,95.1665945478148,98.96148853310255,1.0,2.140597540914314,metrics_before_after,False
complete,open_loop-in512-out128-l16-r1,73,0,36.00033501700091,65.0,35.0,35.0,0.0,99.7144093466032,100.0,30.0,225.1961003450706,metrics_before_after,False
complete,open_loop-in512-out128-l16-r2,74,0,36.50030845699803,65.0,33.0,33.0,0.0,99.49805279099957,100.0,22.0,198.9351390699594,metrics_before_after,False
complete,open_loop-in512-out128-l16-r3,74,0,36.500112402995,65.0,27.0,27.0,0.0,99.4526179143228,99.95672868887927,24.0,147.75802843902056,metrics_before_after,False
complete,open_loop-in512-out128-l16-r4,74,0,36.49991570300335,65.0,35.0,35.0,0.0,99.67113803548247,99.91345737775855,28.0,282.1729299819417,metrics_before_after,False
complete,open_loop-in512-out128-l16-r5,74,0,36.50022983300005,64.0,29.0,29.0,0.0,99.48290783210732,100.0,23.0,170.40722055205697,metrics_before_after,False
complete,open_loop-in512-out128-l4-r1,163,0,81.00044020800124,12.0,0.0,0.0,0.0,13.271311120726967,18.952834270878405,0.0,0.8575449619675055,metrics_before_after,False
complete,open_loop-in512-out128-l4-r2,161,0,80.00036374499905,12.0,3.0,3.0,0.0,12.721765469493729,19.385547382085676,0.0,0.8623862949752947,metrics_before_after,False
complete,open_loop-in512-out128-l4-r3,162,0,80.5003497430007,12.0,3.0,3.0,0.0,14.093466032020771,19.428818693206406,0.0,0.5474631110482733,metrics_before_after,False
complete,open_loop-in512-out128-l4-r4,161,0,80.00036953399831,12.0,0.0,0.0,0.0,12.981393336218083,19.2557334487235,0.0,0.5557944219835917,metrics_before_after,False
complete,open_loop-in512-out128-l4-r5,161,0,80.00042512599612,11.0,3.0,3.0,0.0,13.500649069666814,17.61142362613587,0.0,0.7910816610019538,metrics_before_after,False
complete,open_loop-in512-out128-l6-r1,118,0,58.5004478530027,19.0,0.0,0.0,0.0,23.459541324102123,31.631328429251404,0.0,0.8515518590502325,metrics_before_after,False
complete,open_loop-in512-out128-l6-r2,120,0,59.500462099997094,16.0,0.0,0.0,0.0,19.2795326698399,25.746430116832542,0.0,0.870386079972377,metrics_before_after,False
complete,open_loop-in512-out128-l6-r3,119,0,59.00038489700091,15.0,3.0,3.0,0.0,18.4465599307659,23.842492427520558,0.0,0.5608490219237865,metrics_before_after,False
complete,open_loop-in512-out128-l6-r4,123,0,61.000425113001256,15.0,0.0,0.0,0.0,20.64906966681089,24.405019472090007,0.0,0.6247227160129114,metrics_before_after,False
complete,open_loop-in512-out128-l6-r5,120,0,59.500259846994595,16.0,0.0,0.0,0.0,19.43747295543055,25.530073561228907,0.0,0.7595186970356735,metrics_before_after,False
complete,open_loop-in512-out128-l8-r1,98,0,48.500379007004085,20.0,0.0,0.0,0.0,27.511899610558192,31.631328429251404,0.0,0.567547939994256,metrics_before_after,False
complete,open_loop-in512-out128-l8-r2,99,0,49.00044409799739,22.0,0.0,0.0,0.0,26.127217654694928,34.74686282994375,0.0,0.7565165430787602,metrics_before_after,False
complete,open_loop-in512-out128-l8-r3,98,0,48.500422363002144,22.0,0.0,0.0,0.0,26.35439203807875,34.74686282994375,0.0,0.6086714279445005,metrics_before_after,False
