timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/07/31 13:53:52.393, 0, 24 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 54
2026/07/31 13:53:53.397, 0, 24 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:53:54.400, 0, 23 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:53:55.404, 0, 23 %, 11 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:53:56.407, 0, 24 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:53:57.410, 0, 16 %, 11 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:53:58.414, 0, 17 %, 11 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:53:59.420, 0, 15 %, 11 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:54:00.427, 0, 15 %, 11 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:54:01.436, 0, 16 %, 11 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 53
2026/07/31 13:54:02.448, 0, 24 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:54:03.461, 0, 24 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:54:04.478, 0, 24 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:54:05.493, 0, 24 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:54:06.510, 0, 24 %, 12 %, 7748 MiB, 209 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:54:07.528, 0, 19 %, 11 %, 7747 MiB, 210 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:54:08.547, 0, 16 %, 11 %, 7747 MiB, 210 MiB, [N/A], 210 MHz, 5000 MHz, 52
2026/07/31 13:54:09.566, 0, 100 %, 20 %, 7752 MiB, 205 MiB, [N/A], 2460 MHz, 8250 MHz, 52
2026/07/31 13:54:10.587, 0, 97 %, 83 %, 7752 MiB, 205 MiB, [N/A], 2790 MHz, 8250 MHz, 58
2026/07/31 13:54:11.607, 0, 97 %, 82 %, 7752 MiB, 205 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 13:54:12.629, 0, 97 %, 82 %, 7752 MiB, 205 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 13:54:13.650, 0, 88 %, 75 %, 7752 MiB, 205 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 13:54:14.679, 0, 96 %, 80 %, 7752 MiB, 205 MiB, [N/A], 2775 MHz, 8250 MHz, 59
2026/07/31 13:54:15.703, 0, 97 %, 81 %, 7752 MiB, 205 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:54:16.725, 0, 97 %, 81 %, 7752 MiB, 205 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:54:17.747, 0, 97 %, 82 %, 7752 MiB, 205 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:54:18.769, 0, 98 %, 83 %, 7752 MiB, 205 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:54:19.790, 0, 99 %, 91 %, 7747 MiB, 210 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:54:20.813, 0, 98 %, 94 %, 7747 MiB, 210 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:54:21.591, 0, 98 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:54:22.594, 0, 98 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:54:23.598, 0, 98 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:54:24.601, 0, 98 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:54:25.607, 0, 98 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:54:26.611, 0, 99 %, 94 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:54:27.614, 0, 99 %, 93 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 60
2026/07/31 13:54:28.617, 0, 99 %, 95 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
2026/07/31 13:54:29.621, 0, 99 %, 95 %, 7748 MiB, 209 MiB, [N/A], 2775 MHz, 8250 MHz, 61
